,geo_accession,geo_accession.1,GSE,tissue_source,disease_status,GSEid,class
228,GSM4210215,GSM4210215,GSE141631,whole blood,healthy,GSE141631,0
227,GSM4209837,GSM4209837,GSE141661,whole blood,healthy,GSE141661,0
231,GSM2672531,GSM2672531,GSE100158,whole blood,healthy,GSE100158,0
225,GSM9485650,GSM9485650,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
199,GSM9485657,GSM9485657,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
200,GSM4210200,GSM4210200,GSE141631,whole blood,healthy,GSE141631,0
201,GSM4209823,GSM4209823,GSE141661,whole blood,healthy,GSE141661,0
202,GSM4209850,GSM4209850,GSE141661,whole blood,healthy,GSE141661,0
203,GSM9485664,GSM9485664,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
204,GSM4209681,GSM4209681,GSE141661,whole blood,healthy,GSE141661,0
205,GSM4210158,GSM4210158,GSE141661,whole blood,healthy,GSE141661,0
206,GSM4209722,GSM4209722,GSE141661,whole blood,healthy,GSE141661,0
207,GSM4210230,GSM4210230,GSE141661,whole blood,healthy,GSE141661,0
208,GSM2672533,GSM2672533,GSE100158,whole blood,healthy,GSE100158,0
226,GSM4209694,GSM4209694,GSE141661,whole blood,healthy,GSE141661,0
210,GSM556445,GSM556445,GSE22356,PMBCs,healthy,GSE22356,0
211,GSM2829321,GSM2829321,GSE106087,peripheral blood;neutrophils,healthy,GSE106087,0
212,GSM4210193,GSM4210193,GSE141631,whole blood,healthy,GSE141631,0
209,GSM4210062,GSM4210062,GSE141661,whole blood,healthy,GSE141661,0
214,GSM4209733,GSM4209733,GSE141661,whole blood,healthy,GSE141661,0
224,GSM4210124,GSM4210124,GSE141661,whole blood,healthy,GSE141661,0
223,GSM4209796,GSM4209796,GSE141661,whole blood,healthy,GSE141661,0
213,GSM4209676,GSM4209676,GSE141661,whole blood,healthy,GSE141661,0
221,GSM4209679,GSM4209679,GSE141661,whole blood,healthy,GSE141661,0
220,GSM4210108,GSM4210108,GSE141661,whole blood,healthy,GSE141661,0
222,GSM4209663,GSM4209663,GSE141661,whole blood,healthy,GSE141661,0
218,GSM9485678,GSM9485678,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
217,GSM4209859,GSM4209859,GSE141661,whole blood,healthy,GSE141661,0
216,GSM4210082,GSM4210082,GSE141661,whole blood,healthy,GSE141661,0
215,GSM4210195,GSM4210195,GSE141661,whole blood,healthy,GSE141661,0
219,GSM4209769,GSM4209769,GSE141661,whole blood,healthy,GSE141661,0
395,GSM2672541,GSM2672541,GSE100158,whole blood,melanoma,GSE100158,1
386,GSM2672553,GSM2672553,GSE100158,whole blood,melanoma,GSE100158,1
394,GSM2672554,GSM2672554,GSE100158,whole blood,melanoma,GSE100158,1
393,GSM2672549,GSM2672549,GSE100158,whole blood,melanoma,GSE100158,1
392,GSM2672545,GSM2672545,GSE100158,whole blood,melanoma,GSE100158,1
390,GSM2672556,GSM2672556,GSE100158,whole blood,melanoma,GSE100158,1
389,GSM2672544,GSM2672544,GSE100158,whole blood,melanoma,GSE100158,1
388,GSM2672537,GSM2672537,GSE100158,whole blood,melanoma,GSE100158,1
387,GSM2672551,GSM2672551,GSE100158,whole blood,melanoma,GSE100158,1
385,GSM2672547,GSM2672547,GSE100158,whole blood,melanoma,GSE100158,1
391,GSM2672542,GSM2672542,GSE100158,whole blood,melanoma,GSE100158,1
383,GSM2672539,GSM2672539,GSE100158,whole blood,melanoma,GSE100158,1
382,GSM2672538,GSM2672538,GSE100158,whole blood,melanoma,GSE100158,1
381,GSM2672546,GSM2672546,GSE100158,whole blood,melanoma,GSE100158,1
380,GSM2672555,GSM2672555,GSE100158,whole blood,melanoma,GSE100158,1
379,GSM2672540,GSM2672540,GSE100158,whole blood,melanoma,GSE100158,1
378,GSM2672550,GSM2672550,GSE100158,whole blood,melanoma,GSE100158,1
377,GSM2672536,GSM2672536,GSE100158,whole blood,melanoma,GSE100158,1
376,GSM2672543,GSM2672543,GSE100158,whole blood,melanoma,GSE100158,1
375,GSM2672548,GSM2672548,GSE100158,whole blood,melanoma,GSE100158,1
374,GSM2672535,GSM2672535,GSE100158,whole blood,melanoma,GSE100158,1
384,GSM2672552,GSM2672552,GSE100158,whole blood,melanoma,GSE100158,1
398,GSM2829325,GSM2829325,GSE106087,peripheral blood;neutrophils,psoriasis,GSE106087,1
397,GSM2829324,GSM2829324,GSE106087,peripheral blood;neutrophils,psoriasis,GSE106087,1
396,GSM2829323,GSM2829323,GSE106087,peripheral blood;neutrophils,psoriasis,GSE106087,1
422,GSM5410665,GSM5410665,GSE179153,PBC,scleroderma,GSE179153,1
421,GSM556417,GSM556417,GSE22356,PMBCs,scleroderma,GSE22356,1
420,GSM5410703,GSM5410703,GSE179153,PBC,scleroderma,GSE179153,1
419,GSM1108233,GSM1108233,GSE45537,whole blood,scleroderma,GSE45537,1
418,GSM5410700,GSM5410700,GSE179153,PBC,scleroderma,GSE179153,1
417,GSM5410684,GSM5410684,GSE179153,PBC,scleroderma,GSE179153,1
416,GSM5410663,GSM5410663,GSE179153,PBC,scleroderma,GSE179153,1
415,GSM1108245,GSM1108245,GSE45537,whole blood,scleroderma,GSE45537,1
414,GSM1108190,GSM1108190,GSE45537,whole blood,scleroderma,GSE45537,1
412,GSM5410697,GSM5410697,GSE179153,PBC,scleroderma,GSE179153,1
411,GSM556429,GSM556429,GSE22356,PMBCs,scleroderma,GSE22356,1
413,GSM1108222,GSM1108222,GSE45537,whole blood,scleroderma,GSE45537,1
409,GSM556422,GSM556422,GSE22356,PMBCs,scleroderma,GSE22356,1
410,GSM5410670,GSM5410670,GSE179153,PBC,scleroderma,GSE179153,1
399,GSM5410675,GSM5410675,GSE179153,PBC,scleroderma,GSE179153,1
401,GSM5410690,GSM5410690,GSE179153,PBC,scleroderma,GSE179153,1
402,GSM5410723,GSM5410723,GSE179153,PBC,scleroderma,GSE179153,1
403,GSM1108174,GSM1108174,GSE45537,whole blood,scleroderma,GSE45537,1
400,GSM1108261,GSM1108261,GSE45537,whole blood,scleroderma,GSE45537,1
405,GSM5410674,GSM5410674,GSE179153,PBC,scleroderma,GSE179153,1
406,GSM5410702,GSM5410702,GSE179153,PBC,scleroderma,GSE179153,1
407,GSM1108214,GSM1108214,GSE45537,whole blood,scleroderma,GSE45537,1
408,GSM5410679,GSM5410679,GSE179153,PBC,scleroderma,GSE179153,1
404,GSM5410661,GSM5410661,GSE179153,PBC,scleroderma,GSE179153,1
453,GSM9485715,GSM9485715,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
446,GSM9485680,GSM9485680,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
447,GSM9485709,GSM9485709,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
448,GSM9485700,GSM9485700,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
449,GSM9485681,GSM9485681,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
450,GSM9485710,GSM9485710,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
451,GSM9485716,GSM9485716,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
452,GSM9485682,GSM9485682,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
454,GSM9485702,GSM9485702,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
460,GSM9485686,GSM9485686,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
456,GSM9485689,GSM9485689,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
457,GSM9485701,GSM9485701,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
458,GSM9485697,GSM9485697,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
459,GSM9485699,GSM9485699,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
463,GSM9485717,GSM9485717,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
461,GSM9485693,GSM9485693,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
462,GSM9485707,GSM9485707,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
445,GSM9485690,GSM9485690,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
455,GSM9485712,GSM9485712,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
444,GSM9485684,GSM9485684,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
425,GSM9485687,GSM9485687,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
442,GSM9485679,GSM9485679,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
423,GSM9485703,GSM9485703,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
424,GSM9485692,GSM9485692,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
426,GSM9485704,GSM9485704,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
427,GSM9485683,GSM9485683,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
428,GSM9485719,GSM9485719,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
429,GSM9485698,GSM9485698,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
430,GSM9485718,GSM9485718,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
443,GSM9485706,GSM9485706,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
432,GSM9485685,GSM9485685,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
431,GSM9485708,GSM9485708,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
434,GSM9485691,GSM9485691,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
435,GSM9485696,GSM9485696,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
436,GSM9485688,GSM9485688,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
437,GSM9485694,GSM9485694,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
438,GSM9485711,GSM9485711,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
439,GSM9485695,GSM9485695,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
440,GSM9485714,GSM9485714,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
441,GSM9485713,GSM9485713,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
433,GSM9485705,GSM9485705,GSE318067,circulating cells from peripheral blood,systemic lupus erythematosus,GSE318067,1
465,GSM6222692,GSM6222692,GSE205751,peripheral blood mononuclear cell,vitiligo,GSE205751,1
464,GSM6222691,GSM6222691,GSE205751,peripheral blood mononuclear cell,vitiligo,GSE205751,1
466,GSM6222693,GSM6222693,GSE205751,peripheral blood mononuclear cell,vitiligo,GSE205751,1
